name,seller,price,number-of-items-sold,ram,rom,screen-size,color,front-camera,rear-camera,number_of_sims,date,os
"Camon 11 Pro - Dual SIM - 64Go HDD - 6Go RAM - 6,2"" - Noir - 12 Mois",Tecno,163000.0,10001.0,4.0,32.0,6.0,noir,5.0,8.0,2,Sun May 26 21:20:57 2019,android
Lumia 640 - 8Go HDD - Noir - 6 Mois,Nokia,53800.0,1001.0,1.0,16.0,5.5,noir,2.0,24.0,1,Sun May 26 21:20:59 2019,windows 8
"Hot 7 Pro Dual Sim - 6,2"" - 32 Go HDD - 2 Go RAM - Voilet",Infinix,88200.0,101.0,1.0,64.0,5.0,voilet,5.0,12.0,2,Sun May 26 21:21:00 2019,android
Galaxy S8 64Go HDD - Noir,Samsung,235000.0,9.0,3.0,16.0,5.0,noir,8.0,16.0,1,Sun May 26 21:21:02 2019,android
G6 32Go HDD - 4Go RAM - Or - 12 Mois + Pochette + Protège Ecran  Offerts,LG,119900.0,101.0,6.0,64.0,6.0,or,5.0,13.0,1,Sun May 26 21:21:04 2019,android
"Y5 Prime (2018) - Double Puce - 16Go HDD - 2Go RAM - 5,4"" - Bleu - 12 Mois + Bubble C Offert (20 Sachets)",Huawei,86500.0,1001.0,3.0,16.0,6.0,bleu,5.0,12.0,2,Sun May 26 21:21:05 2019,android
CRYSTAL Dual SIM 64Go HDD - 4Go RAM - 13+5MP - 12 Mois,UMIDIGI,195000.0,101.0,1.0,16.0,4.7,noir,5.0,16.0,2,Sun May 26 21:21:07 2019,android
"OK-Smart18 - Dual SIM - 16Go HDD - 1 Go RAM - 5,5"" - Noir - 12 Mois",Oking,36900.0,1001.0,1.0,32.0,5.7,noir,2.0,17.0,2,Sun May 26 21:21:12 2019,android
Galaxy S8 64Go HDD - Noir - 12 Mois + Pochette + Protège Ecran Offert,Samsung,225000.0,1001.0,6.0,64.0,5.4,noir,5.0,13.0,1,Sun May 26 21:21:14 2019,android
Spark 3 Dual SIM - 16Go HDD - 1Go RAM - Noir - 12 Mois,Tecno,71800.0,1001.0,2.0,32.0,6.4,noir,5.0,8.0,2,Sun May 26 21:21:15 2019,android
Smart 2 Dual SIM 16 Go HDD - 1Go RAM - Bleu - 12 Mois,Infinix,58600.0,1001.0,1.0,8.0,5.0,bleu,8.0,13.0,2,Sun May 26 21:21:16 2019,android
Camon 11 Dual SIM 32 Go HDD - Blue - 12 Mois,Tecno,114000.0,99.0,6.0,16.0,5.6,bleu,5.0,13.0,2,Sun May 26 21:21:18 2019,android
Lenovo S5 Pro Double Puce 64Go HDD - 6Go RAM - 12+20MP - Noir + Pochette Offert - 12 Mois,Lenovo,158500.0,49.0,4.0,64.0,5.5,noir,5.0,13.0,2,Sun May 26 21:21:19 2019,android
A1 Dual SIM 32Go HDD - Or,X-tigi,79000.0,1001.0,3.0,16.0,6.0,or,2.0,18.0,2,Sun May 26 21:21:22 2019,android
U3 Dual SIM 8Go HDD - Blanc - 12 Mois + Forfait Internet Offert,Alcatel,31900.0,99.0,4.0,8.0,6.2,blanc,0.0,20.0,2,Sun May 26 21:21:23 2019,android
Energy 4S Dual SIM 16Go HDD - Gris - 6 Mois,PHICOMM,49000.0,99.0,4.0,64.0,6.2,gris,2.0,21.0,2,Sun May 26 21:21:25 2019,android
Camon 11 Pro Dual SIM 64 Go HDD - Noir - 12 Mois,Tecno,164000.0,101.0,2.0,64.0,4.7,noir,5.0,13.0,2,Sun May 26 21:21:27 2019,android
Galaxy M10 Dual SIM - 16Go HDD - 2Go RAM - 13+5MP - Noir,Samsung,120000.0,1001.0,1.0,32.0,4.0,noir,5.0,16.0,2,Sun May 26 21:21:28 2019,android
Galaxy J2 Core Dual SIM - 8 Go HDD - 1 Go RAM - Noir,Samsung,54000.0,10001.0,4.0,32.0,4.0,noir,16.0,16.0,2,Sun May 26 21:21:30 2019,android
"Galaxy Note 8 - 64 Go HDD - 6 Go RAM - 6,3'' - Noir",Samsung,275000.0,9.0,1.0,64.0,4.0,noir,13.0,5.0,1,Sun May 26 21:21:31 2019,android
Galaxy S7 - 32 Go HDD - Noir-glace+pochette,Samsung,133500.0,101.0,4.0,16.0,6.2,noir,0.0,13.0,1,Sun May 26 21:21:33 2019,android
A32F 8Go HDD - Noir,ITEL,42900.0,10001.0,2.0,16.0,5.7,noir,2.0,17.0,1,Sun May 26 21:21:34 2019,android
Nokia 8 Dual SIM 64Go HDD - Bleu,Nokia,215000.0,49.0,1.0,64.0,4.3,bleu,2.0,5.0,2,Sun May 26 21:21:36 2019,android
Redmi 5A Dual SIM - 32Go HDD - 3Go RAM - 13MP - Or - 12 Mois de Garantie,Xiaomi,77900.0,10001.0,4.0,8.0,5.5,or,5.0,12.0,2,Sun May 26 21:21:39 2019,android
Galaxy S7 32 Go HDD - Noir - 12 Mois + Pochette + Protège Ecran Offert,Samsung,140000.0,10001.0,2.0,64.0,5.7,noir,2.0,3.0,1,Sun May 26 21:21:40 2019,android
Galaxy S6  32 Go HDD - Noir + Ecran de Protection et Pochette - 12 Mois,Samsung,99000.0,49.0,3.0,32.0,6.2,noir,2.0,8.0,1,Sun May 26 21:21:42 2019,android
Redmi Note 5 Dual SIM 64Go HDD - 4Go RAM - 12+5MP - Noir + Pochette Offert - 12 Mois de Garantie,Xiaomi,124900.0,10001.0,1.0,8.0,6.0,noir,2.0,5.0,2,Sun May 26 21:21:43 2019,android
Galaxy J7 Core - 16Go HDD - Or,Samsung,96000.0,49.0,6.0,32.0,6.2,or,0.0,13.0,1,Sun May 26 21:21:45 2019,android
E2C Dual SIM - 16Go HDD - Gris - 12 Mois de Garantie,COOLPAD,39900.0,101.0,4.0,16.0,5.3,gris,5.0,16.0,2,Sun May 26 21:21:46 2019,android
Lenovo S5 Dual SIM 64Go HDD - 4Go RAM - 13+13MP - Rouge + Pochette  Offert - 12 Mois,Lenovo,99900.0,10001.0,2.0,32.0,5.5,rouge,0.0,5.0,2,Sun May 26 21:21:49 2019,android
Galaxy Grand Prime Plus Dual SIM 8Go HDD / 1.5Go Ram - Gris Et Or,Samsung,63500.0,101.0,4.0,16.0,5.0,gris et or,2.0,5.0,2,Sun May 26 21:21:54 2019,android
"Redmi 5 Plus - Dual SIM - 64Go HDD - 4Go RAM - 6"" - Noir + Pochette Offert - 12 Mois de Garantie",Xiaomi,104900.0,1001.0,4.0,64.0,5.5,noir,2.0,15.0,2,Sun May 26 21:21:56 2019,android
Spark 2 Dual SIM 32 Go HDD - 2 Go RAM - Rouge - 12 Mois,Tecno,79000.0,101.0,3.0,64.0,5.2,rouge,5.0,8.0,2,Sun May 26 21:21:58 2019,windows
Microsoft Lumia 550 - Reconditionné sans carton d'origine - 8Go HDD - 1RAM - Noir,Nokia,41420.0,10001.0,2.0,16.0,5.0,noir,8.0,13.0,1,Sun May 26 21:22:00 2019,android
"G6 - 32Go HDD - 4Go RAM - 5,7"" - Noir - 12 Mois + Pochette + Protège Ecran",LG,119900.0,9.0,4.0,64.0,6.0,noir,13.0,20.0,1,Sun May 26 21:22:01 2019,android
